YEAR;MONTH;INPC
1994;MAR;43,08
1994;ABR;42,86
1994;MAI;42,73
1994;JUN;48,24
1994;JUL;7,75
1994;AGO;1,85
1994;SET;1,4
1994;OUT;2,82
1994;NOV;2,96
1994;DEZ;1,7
1995;JAN;1,44
1995;FEV;1,01
1995;MAR;1,62
1995;ABR;2,49
1995;MAI;2,1
1995;JUN;2,18
1995;JUL;2,46
1995;AGO;1,02
1995;SET;1,17
1995;OUT;1,4
1995;NOV;1,51
1995;DEZ;1,65
1996;JAN;1,46
1996;FEV;0,71
1996;MAR;0,29
1996;ABR;0,93
1996;MAI;1,28
1996;JUN;1,33
1996;JUL;1,2
1996;AGO;0,5
1996;SET;0,02
1996;OUT;0,38
1996;NOV;0,34
1996;DEZ;0,33
1997;JAN;0,81
1997;FEV;0,45
1997;MAR;0,68
1997;ABR;0,6
1997;MAI;0,11
1997;JUN;0,35
1997;JUL;0,18
1997;AGO;-0,03
1997;SET;0,1
1997;OUT;0,29
1997;NOV;0,15
1997;DEZ;0,57
1998;JAN;0,85
1998;FEV;0,54
1998;MAR;0,49
1998;ABR;0,45
1998;MAI;0,72
1998;JUN;0,15
1998;JUL;-0,28
1998;AGO;-0,49
1998;SET;-0,31
1998;OUT;0,11
1998;NOV;-0,18
1998;DEZ;0,42
1999;JAN;0,65
1999;FEV;1,29
1999;MAR;1,28
1999;ABR;0,47
1999;MAI;0,05
1999;JUN;0,07
1999;JUL;0,74
1999;AGO;0,55
1999;SET;0,39
1999;OUT;0,96
1999;NOV;0,94
1999;DEZ;0,74
2000;JAN;0,61
2000;FEV;0,05
2000;MAR;0,13
2000;ABR;0,09
2000;MAI;-0,05
2000;JUN;0,3
2000;JUL;1,39
2000;AGO;1,21
2000;SET;0,43
2000;OUT;0,16
2000;NOV;0,29
2000;DEZ;0,55
2001;JAN;0,77
2001;FEV;0,49
2001;MAR;0,48
2001;ABR;0,84
2001;MAI;0,57
2001;JUN;0,6
2001;JUL;1,11
2001;AGO;0,79
2001;SET;0,44
2001;OUT;0,94
2001;NOV;1,29
2001;DEZ;0,74
2002;JAN;1,07
2002;FEV;0,31
2002;MAR;0,62
2002;ABR;0,68
2002;MAI;0,09
2002;JUN;0,61
2002;JUL;1,15
2002;AGO;0,86
2002;SET;0,83
2002;OUT;1,57
2002;NOV;3,39
2002;DEZ;2,7
2003;JAN;2,47
2003;FEV;1,46
2003;MAR;1,37
2003;ABR;1,38
2003;MAI;0,99
2003;JUN;-0,06
2003;JUL;0,04
2003;AGO;0,18
2003;SET;0,82
2003;OUT;0,39
2003;NOV;0,37
2003;DEZ;0,54
2004;JAN;0,83
2004;FEV;0,39
2004;MAR;0,57
2004;ABR;0,41
2004;MAI;0,4
2004;JUN;0,5
2004;JUL;0,73
2004;AGO;0,5
2004;SET;0,17
2004;OUT;0,17
2004;NOV;0,44
2004;DEZ;0,86
2005;JAN;0,57
2005;FEV;0,44
2005;MAR;0,73
2005;ABR;0,91
2005;MAI;0,7
2005;JUN;-0,11
2005;JUL;0,03
2005;AGO;0
2005;SET;0,15
2005;OUT;0,58
2005;NOV;0,54
2005;DEZ;0,4
2006;JAN;0,38
2006;FEV;0,23
2006;MAR;0,27
2006;ABR;0,12
2006;MAI;0,13
2006;JUN;-0,07
2006;JUL;0,11
2006;AGO;-0,02
2006;SET;0,16
2006;OUT;0,43
2006;NOV;0,42
2006;DEZ;0,62
2007;JAN;0,49
2007;FEV;0,42
2007;MAR;0,44
2007;ABR;0,26
2007;MAI;0,26
2007;JUN;0,31
2007;JUL;0,32
2007;AGO;0,59
2007;SET;0,25
2007;OUT;0,3
2007;NOV;0,43
2007;DEZ;0,97
2008;JAN;0,69
2008;FEV;0,48
2008;MAR;0,51
2008;ABR;0,64
2008;MAI;0,96
2008;JUN;0,91
2008;JUL;0,58
2008;AGO;0,21
2008;SET;0,15
2008;OUT;0,5
2008;NOV;0,38
2008;DEZ;0,29
2009;JAN;0,64
2009;FEV;0,31
2009;MAR;0,2
2009;ABR;0,55
2009;MAI;0,6
2009;JUN;0,42
2009;JUL;0,23
2009;AGO;0,08
2009;SET;0,16
2009;OUT;0,24
2009;NOV;0,37
2009;DEZ;0,24
2010;JAN;0,88
2010;FEV;0,7
2010;MAR;0,71
2010;ABR;0,73
2010;MAI;0,43
2010;JUN;-0,11
2010;JUL;-0,07
2010;AGO;-0,07
2010;SET;0,54
2010;OUT;0,92
2010;NOV;1,03
